Manufacturer,Tool Type,Series,Family Code,Part Number,Thread Size,Diameter,Shank Dia,LOC,OAL,Flutes,Coating,Material Focus,List Price,Source File,Imported At,End Geometry,Flute Count,Shank,Corner,Allowed Materials,Source Rule,Flute Length,Overall Length,Material,Catalog Diameter Label,Catalog Page,Catalog Style Description,Diameter Decimal,Shank Decimal,LOC Decimal,OAL Decimal,Manufacturer Key,Tool Type Key,Series Key,Part Number Key,Material Focus Key
M.A. Ford,End Mill,Miniature Square Stub Standard,End Mill,13905-C3,,0.005,0.125,0.0075,1.5,2,ALtima,,,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.005,0.125,0.0075,1.5,M.A. FORD,END MILL,MINIATURESQUARESTUBSTANDARD,13905-C3,
M.A. Ford,End Mill,140,,14001000A,,0.01,0.125,0.03,1.5,3,TiB2,Aluminum,52.1,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.01,0.125,0.03,1.5,M.A. FORD,END MILL,140,14001000A,ALUMINUM
M.A. Ford,End Mill,140,,14001500A,,0.015,0.125,0.045,1.5,3,TiB2,Aluminum,52.75,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.015,0.125,0.045,1.5,M.A. FORD,END MILL,140,14001500A,ALUMINUM
M.A. Ford,End Mill,140,,14002000A,,0.02,0.125,0.06,1.5,3,TiB2,Aluminum,53.2,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.02,0.125,0.06,1.5,M.A. FORD,END MILL,140,14002000A,ALUMINUM
M.A. Ford,End Mill,140,,14002500A,,0.025,0.125,0.075,1.5,3,TiB2,Aluminum,53.9,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.025,0.125,0.075,1.5,M.A. FORD,END MILL,140,14002500A,ALUMINUM
M.A. Ford,End Mill,140,,14003000A,,0.03,0.125,0.09,1.5,3,TiB2,Aluminum,54.5,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.03,0.125,0.09,1.5,M.A. FORD,END MILL,140,14003000A,ALUMINUM
M.A. Ford,End Mill,140,,14004000A,,0.04,0.125,0.12,1.5,3,TiB2,Aluminum,55.8,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.04,0.125,0.12,1.5,M.A. FORD,END MILL,140,14004000A,ALUMINUM
M.A. Ford,End Mill,Miniature Square Stub Standard,End Mill,14005,,0.005,0.125,0.0075,1.5,4,Uncoated,,,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.005,0.125,0.0075,1.5,M.A. FORD,END MILL,MINIATURESQUARESTUBSTANDARD,14005,
M.A. Ford,End Mill,Miniature Square Stub Standard,End Mill,14005-C3,,0.005,0.125,0.0075,1.5,4,ALtima,,,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.005,0.125,0.0075,1.5,M.A. FORD,END MILL,MINIATURESQUARESTUBSTANDARD,14005-C3,
M.A. Ford,End Mill,140,,14005000A,,0.05,0.125,0.15,1.5,3,TiB2,Aluminum,56.9,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.05,0.125,0.15,1.5,M.A. FORD,END MILL,140,14005000A,ALUMINUM
M.A. Ford,End Mill,140,,14006250A,,0.062,0.125,0.187,1.5,3,TiB2,Aluminum,58.1,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.062,0.125,0.187,1.5,M.A. FORD,END MILL,140,14006250A,ALUMINUM
M.A. Ford,End Mill,178N,,17825022NA,,0.25,,0.75,4.0,5,ALtima,"Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,,,,,0.25,,0.75,4.0,M.A. FORD,END MILL,178N,17825022NA,"STEEL, STAINLESS"
M.A. Ford,End Mill,178N,,17825024NA,,0.25,,0.75,4.0,5,ALtima,"Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,,,,,0.25,,0.75,4.0,M.A. FORD,END MILL,178N,17825024NA,"STEEL, STAINLESS"
M.A. Ford,End Mill,178N,,17831222NA,,0.3125,,1.0,4.0,5,ALtima,"Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,,,,,0.3125,,1.0,4.0,M.A. FORD,END MILL,178N,17831222NA,"STEEL, STAINLESS"
M.A. Ford,End Mill,178N,,17831224NA,,0.3125,,1.0,4.0,5,ALtima,"Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,,,,,0.3125,,1.0,4.0,M.A. FORD,END MILL,178N,17831224NA,"STEEL, STAINLESS"
M.A. Ford,End Mill,178N,,17837522NA,,0.375,,1.0,4.0,5,ALtima,"Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,,,,,0.375,,1.0,4.0,M.A. FORD,END MILL,178N,17837522NA,"STEEL, STAINLESS"
M.A. Ford,End Mill,178N,,17837524NA,,0.375,,1.0,4.0,5,ALtima,"Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,,,,,0.375,,1.0,4.0,M.A. FORD,END MILL,178N,17837524NA,"STEEL, STAINLESS"
M.A. Ford,End Mill,178N,,17837532NA,,0.375,,1.25,6.0,5,ALtima,"Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,,,,,0.375,,1.25,6.0,M.A. FORD,END MILL,178N,17837532NA,"STEEL, STAINLESS"
M.A. Ford,End Mill,178N,,17837534NA,,0.375,,1.25,6.0,5,ALtima,"Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,,,,,0.375,,1.25,6.0,M.A. FORD,END MILL,178N,17837534NA,"STEEL, STAINLESS"
M.A. Ford,End Mill,178N,,17843722NA,,0.4375,,1.25,4.0,5,ALtima,"Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,,,,,0.4375,,1.25,4.0,M.A. FORD,END MILL,178N,17843722NA,"STEEL, STAINLESS"
M.A. Ford,End Mill,178N,,17843724NA,,0.4375,,1.25,4.0,5,ALtima,"Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,,,,,0.4375,,1.25,4.0,M.A. FORD,END MILL,178N,17843724NA,"STEEL, STAINLESS"
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182401,,0.0039,0.1575,0.0118,1.7717,2,WXL,Multi-Purpose,7620.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.0039,0.1575,0.0118,1.7717,OSG,END MILL,WXL3DDE,182401,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182402,,0.0079,0.1575,0.0236,1.7717,2,WXL,Multi-Purpose,4600.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.0079,0.1575,0.0236,1.7717,OSG,END MILL,WXL3DDE,182402,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182403,,0.0118,0.1575,0.0354,1.7717,2,WXL,Multi-Purpose,4010.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.0118,0.1575,0.0354,1.7717,OSG,END MILL,WXL3DDE,182403,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182404,,0.0157,0.1575,0.0472,1.7717,2,WXL,Multi-Purpose,4450.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.0157,0.1575,0.0472,1.7717,OSG,END MILL,WXL3DDE,182404,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182405,,0.0197,0.1575,0.0591,1.7717,2,WXL,Multi-Purpose,2240.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.0197,0.1575,0.0591,1.7717,OSG,END MILL,WXL3DDE,182405,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182406,,0.0236,0.1575,0.0709,1.7717,2,WXL,Multi-Purpose,3400.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.0236,0.1575,0.0709,1.7717,OSG,END MILL,WXL3DDE,182406,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182407,,0.0276,0.1575,0.0827,1.7717,2,WXL,Multi-Purpose,3770.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.0276,0.1575,0.0827,1.7717,OSG,END MILL,WXL3DDE,182407,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182408,,0.0315,0.1575,0.0945,1.7717,2,WXL,Multi-Purpose,2240.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.0315,0.1575,0.0945,1.7717,OSG,END MILL,WXL3DDE,182408,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182409,,0.0354,0.1575,0.1063,1.7717,2,WXL,Multi-Purpose,3770.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.0354,0.1575,0.1063,1.7717,OSG,END MILL,WXL3DDE,182409,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182410,,0.0394,0.1575,0.1181,1.7717,2,WXL,Multi-Purpose,1980.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.0394,0.1575,0.1181,1.7717,OSG,END MILL,WXL3DDE,182410,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182411,,0.0433,0.1575,0.1299,1.7717,2,WXL,Multi-Purpose,4220.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.0433,0.1575,0.1299,1.7717,OSG,END MILL,WXL3DDE,182411,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182412,,0.0472,0.1575,0.1417,1.7717,2,WXL,Multi-Purpose,2240.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.0472,0.1575,0.1417,1.7717,OSG,END MILL,WXL3DDE,182412,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182413,,0.0512,0.1575,0.1535,1.7717,2,WXL,Multi-Purpose,4220.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.0512,0.1575,0.1535,1.7717,OSG,END MILL,WXL3DDE,182413,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182414,,0.0551,0.1575,0.1654,1.7717,2,WXL,Multi-Purpose,4220.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.0551,0.1575,0.1654,1.7717,OSG,END MILL,WXL3DDE,182414,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182415,,0.0591,0.1575,0.1772,1.7717,2,WXL,Multi-Purpose,1980.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.0591,0.1575,0.1772,1.7717,OSG,END MILL,WXL3DDE,182415,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182416,,0.063,0.1575,0.189,1.7717,2,WXL,Multi-Purpose,4220.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.063,0.1575,0.189,1.7717,OSG,END MILL,WXL3DDE,182416,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182417,,0.0669,0.1575,0.2008,1.7717,2,WXL,Multi-Purpose,4220.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.0669,0.1575,0.2008,1.7717,OSG,END MILL,WXL3DDE,182417,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182418,,0.0709,0.1575,0.2126,1.7717,2,WXL,Multi-Purpose,2240.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.0709,0.1575,0.2126,1.7717,OSG,END MILL,WXL3DDE,182418,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182419,,0.0748,0.1575,0.2244,1.7717,2,WXL,Multi-Purpose,4220.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.0748,0.1575,0.2244,1.7717,OSG,END MILL,WXL3DDE,182419,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182420,,0.0787,0.1575,0.2362,1.7717,2,WXL,Multi-Purpose,1980.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.0787,0.1575,0.2362,1.7717,OSG,END MILL,WXL3DDE,182420,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182421,,0.0827,0.1575,0.248,1.7717,2,WXL,Multi-Purpose,4220.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.0827,0.1575,0.248,1.7717,OSG,END MILL,WXL3DDE,182421,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182422,,0.0866,0.1575,0.2598,1.7717,2,WXL,Multi-Purpose,4220.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.0866,0.1575,0.2598,1.7717,OSG,END MILL,WXL3DDE,182422,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182423,,0.0906,0.1575,0.2717,1.7717,2,WXL,Multi-Purpose,4220.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.0906,0.1575,0.2717,1.7717,OSG,END MILL,WXL3DDE,182423,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182424,,0.0945,0.1575,0.2835,1.7717,2,WXL,Multi-Purpose,4220.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.0945,0.1575,0.2835,1.7717,OSG,END MILL,WXL3DDE,182424,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182425,,0.0984,0.1575,0.2953,1.7717,2,WXL,Multi-Purpose,1980.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.0984,0.1575,0.2953,1.7717,OSG,END MILL,WXL3DDE,182425,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182426,,0.1024,0.1575,0.3071,1.7717,2,WXL,Multi-Purpose,5400.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.1024,0.1575,0.3071,1.7717,OSG,END MILL,WXL3DDE,182426,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182427,,0.1063,0.1575,0.3189,1.7717,2,WXL,Multi-Purpose,5400.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.1063,0.1575,0.3189,1.7717,OSG,END MILL,WXL3DDE,182427,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182428,,0.1102,0.1575,0.3307,1.7717,2,WXL,Multi-Purpose,5400.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.1102,0.1575,0.3307,1.7717,OSG,END MILL,WXL3DDE,182428,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182429,,0.1142,0.1575,0.3425,1.7717,2,WXL,Multi-Purpose,5400.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.1142,0.1575,0.3425,1.7717,OSG,END MILL,WXL3DDE,182429,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182430,,0.1181,0.2362,0.3543,1.7717,2,WXL,Multi-Purpose,2560.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.1181,0.2362,0.3543,1.7717,OSG,END MILL,WXL3DDE,182430,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182431,,0.122,0.2362,0.3661,1.7717,2,WXL,Multi-Purpose,5620.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.122,0.2362,0.3661,1.7717,OSG,END MILL,WXL3DDE,182431,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182432,,0.126,0.2362,0.378,1.7717,2,WXL,Multi-Purpose,5620.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.126,0.2362,0.378,1.7717,OSG,END MILL,WXL3DDE,182432,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182433,,0.1299,0.2362,0.3898,1.7717,2,WXL,Multi-Purpose,5620.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.1299,0.2362,0.3898,1.7717,OSG,END MILL,WXL3DDE,182433,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182434,,0.1339,0.2362,0.4016,1.7717,2,WXL,Multi-Purpose,5620.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.1339,0.2362,0.4016,1.7717,OSG,END MILL,WXL3DDE,182434,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182435,,0.1378,0.2362,0.4134,1.7717,2,WXL,Multi-Purpose,4680.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.1378,0.2362,0.4134,1.7717,OSG,END MILL,WXL3DDE,182435,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182436,,0.1417,0.2362,0.4252,1.7717,2,WXL,Multi-Purpose,5620.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.1417,0.2362,0.4252,1.7717,OSG,END MILL,WXL3DDE,182436,MULTI-PURPOSE
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182437,,0.1457,0.2362,0.437,1.7717,2,WXL,Multi-Purpose,5620.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.1457,0.2362,0.437,1.7717,OSG,END MILL,WXL3DDE,182437,MULTI-PURPOSE
M.A. Ford,Drill,Miniature Drill Hardened Steels,,20005,,0.005,0.125,0.03,1.5,2,Uncoated,,62.1,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.005,0.125,0.03,1.5,M.A. FORD,DRILL,MINIATUREDRILLHARDENEDSTEELS,20005,
M.A. Ford,Drill,Miniature Drill Hardened Steels,,20005-C3,,0.005,0.125,0.03,1.5,2,AlTiN,,71.88,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.005,0.125,0.03,1.5,M.A. FORD,DRILL,MINIATUREDRILLHARDENEDSTEELS,20005-C3,
M.A. Ford,Drill,Miniature Drill Hardened Steels,,20006,,0.006,0.125,0.036,1.5,2,Uncoated,,59.8,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.006,0.125,0.036,1.5,M.A. FORD,DRILL,MINIATUREDRILLHARDENEDSTEELS,20006,
M.A. Ford,Drill,Miniature Drill Hardened Steels,,20006-C3,,0.006,0.125,0.036,1.5,2,AlTiN,,69.58,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.006,0.125,0.036,1.5,M.A. FORD,DRILL,MINIATUREDRILLHARDENEDSTEELS,20006-C3,
M.A. Ford,Drill,Miniature Drill Hardened Steels,,20007,,0.007,0.125,0.042,1.5,2,Uncoated,,57.5,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.007,0.125,0.042,1.5,M.A. FORD,DRILL,MINIATUREDRILLHARDENEDSTEELS,20007,
M.A. Ford,Drill,Miniature Drill Hardened Steels,,20007-C3,,0.007,0.125,0.042,1.5,2,AlTiN,,67.28,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.007,0.125,0.042,1.5,M.A. FORD,DRILL,MINIATUREDRILLHARDENEDSTEELS,20007-C3,
M.A. Ford,Drill,Miniature Drill Hardened Steels,,20008,,0.008,0.125,0.048,1.5,2,Uncoated,,55.2,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.008,0.125,0.048,1.5,M.A. FORD,DRILL,MINIATUREDRILLHARDENEDSTEELS,20008,
M.A. Ford,Drill,Miniature Drill Hardened Steels,,20008-C3,,0.008,0.125,0.048,1.5,2,AlTiN,,64.98,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.008,0.125,0.048,1.5,M.A. FORD,DRILL,MINIATUREDRILLHARDENEDSTEELS,20008-C3,
M.A. Ford,Drill,Miniature Drill Hardened Steels,,20009,,0.009,0.125,0.054,1.5,2,Uncoated,,53.9,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.009,0.125,0.054,1.5,M.A. FORD,DRILL,MINIATUREDRILLHARDENEDSTEELS,20009,
M.A. Ford,Drill,Miniature Drill Hardened Steels,,20009-C3,,0.009,0.125,0.054,1.5,2,AlTiN,,63.68,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.009,0.125,0.054,1.5,M.A. FORD,DRILL,MINIATUREDRILLHARDENEDSTEELS,20009-C3,
M.A. Ford,Drill,Miniature Drill Hardened Steels,,20010,,0.01,0.125,0.06,1.5,2,Uncoated,,52.6,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.01,0.125,0.06,1.5,M.A. FORD,DRILL,MINIATUREDRILLHARDENEDSTEELS,20010,
M.A. Ford,Drill,Miniature Drill Hardened Steels,,20010-C3,,0.01,0.125,0.06,1.5,2,AlTiN,,62.38,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.01,0.125,0.06,1.5,M.A. FORD,DRILL,MINIATUREDRILLHARDENEDSTEELS,20010-C3,
