Manufacturer,Tool Type,Series,Family Code,Part Number,Thread Size,Diameter,Shank Dia,LOC,OAL,Flutes,Coating,Material Focus,List Price,Source File,Imported At,End Geometry,Flute Count,Shank,Corner,Allowed Materials,Source Rule,Flute Length,Overall Length,Material
M.A. Ford,End Mill,178N,,17837532NA,,0.375,,1.25,6.0,5,ALtima,"Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,
M.A. Ford,End Mill,178N,,17837534NA,,0.375,,1.25,6.0,5,ALtima,"Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,
M.A. Ford,End Mill,178N,,17843722NA,,0.4375,,1.25,4.0,5,ALtima,"Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,
M.A. Ford,End Mill,178N,,17843724NA,,0.4375,,1.25,4.0,5,ALtima,"Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182401,,0.0039,0.1575,0.0118,1.7717,2,WXL,Multi-Purpose,7620.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182402,,0.0079,0.1575,0.0236,1.7717,2,WXL,Multi-Purpose,4600.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182403,,0.0118,0.1575,0.0354,1.7717,2,WXL,Multi-Purpose,4010.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182404,,0.0157,0.1575,0.0472,1.7717,2,WXL,Multi-Purpose,4450.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182405,,0.0197,0.1575,0.0591,1.7717,2,WXL,Multi-Purpose,2240.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182406,,0.0236,0.1575,0.0709,1.7717,2,WXL,Multi-Purpose,3400.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182407,,0.0276,0.1575,0.0827,1.7717,2,WXL,Multi-Purpose,3770.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182408,,0.0315,0.1575,0.0945,1.7717,2,WXL,Multi-Purpose,2240.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182409,,0.0354,0.1575,0.1063,1.7717,2,WXL,Multi-Purpose,3770.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182410,,0.0394,0.1575,0.1181,1.7717,2,WXL,Multi-Purpose,1980.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182411,,0.0433,0.1575,0.1299,1.7717,2,WXL,Multi-Purpose,4220.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182412,,0.0472,0.1575,0.1417,1.7717,2,WXL,Multi-Purpose,2240.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182413,,0.0512,0.1575,0.1535,1.7717,2,WXL,Multi-Purpose,4220.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182414,,0.0551,0.1575,0.1654,1.7717,2,WXL,Multi-Purpose,4220.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182415,,0.0591,0.1575,0.1772,1.7717,2,WXL,Multi-Purpose,1980.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182416,,0.063,0.1575,0.189,1.7717,2,WXL,Multi-Purpose,4220.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182417,,0.0669,0.1575,0.2008,1.7717,2,WXL,Multi-Purpose,4220.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182418,,0.0709,0.1575,0.2126,1.7717,2,WXL,Multi-Purpose,2240.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182419,,0.0748,0.1575,0.2244,1.7717,2,WXL,Multi-Purpose,4220.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182420,,0.0787,0.1575,0.2362,1.7717,2,WXL,Multi-Purpose,1980.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182421,,0.0827,0.1575,0.248,1.7717,2,WXL,Multi-Purpose,4220.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182422,,0.0866,0.1575,0.2598,1.7717,2,WXL,Multi-Purpose,4220.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182423,,0.0906,0.1575,0.2717,1.7717,2,WXL,Multi-Purpose,4220.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182424,,0.0945,0.1575,0.2835,1.7717,2,WXL,Multi-Purpose,4220.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182425,,0.0984,0.1575,0.2953,1.7717,2,WXL,Multi-Purpose,1980.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182426,,0.1024,0.1575,0.3071,1.7717,2,WXL,Multi-Purpose,5400.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182427,,0.1063,0.1575,0.3189,1.7717,2,WXL,Multi-Purpose,5400.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182428,,0.1102,0.1575,0.3307,1.7717,2,WXL,Multi-Purpose,5400.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182429,,0.1142,0.1575,0.3425,1.7717,2,WXL,Multi-Purpose,5400.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182430,,0.1181,0.2362,0.3543,1.7717,2,WXL,Multi-Purpose,2560.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182431,,0.122,0.2362,0.3661,1.7717,2,WXL,Multi-Purpose,5620.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182432,,0.126,0.2362,0.378,1.7717,2,WXL,Multi-Purpose,5620.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182433,,0.1299,0.2362,0.3898,1.7717,2,WXL,Multi-Purpose,5620.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182434,,0.1339,0.2362,0.4016,1.7717,2,WXL,Multi-Purpose,5620.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182435,,0.1378,0.2362,0.4134,1.7717,2,WXL,Multi-Purpose,4680.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182436,,0.1417,0.2362,0.4252,1.7717,2,WXL,Multi-Purpose,5620.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WXL-3D-DE,WXL-3D-DE,182437,,0.1457,0.2362,0.437,1.7717,2,WXL,Multi-Purpose,5620.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,Drill,Miniature Drill Hardened Steels,,20005,,0.005,0.125,0.03,1.5,2,Uncoated,,62.1,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,Drill,Miniature Drill Hardened Steels,,20005-C3,,0.005,0.125,0.03,1.5,2,AlTiN,,71.88,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,Drill,Miniature Drill Hardened Steels,,20006,,0.006,0.125,0.036,1.5,2,Uncoated,,59.8,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,Drill,Miniature Drill Hardened Steels,,20006-C3,,0.006,0.125,0.036,1.5,2,AlTiN,,69.58,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,Drill,Miniature Drill Hardened Steels,,20007,,0.007,0.125,0.042,1.5,2,Uncoated,,57.5,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,Drill,Miniature Drill Hardened Steels,,20007-C3,,0.007,0.125,0.042,1.5,2,AlTiN,,67.28,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,Drill,Miniature Drill Hardened Steels,,20008,,0.008,0.125,0.048,1.5,2,Uncoated,,55.2,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,Drill,Miniature Drill Hardened Steels,,20008-C3,,0.008,0.125,0.048,1.5,2,AlTiN,,64.98,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,Drill,Miniature Drill Hardened Steels,,20009,,0.009,0.125,0.054,1.5,2,Uncoated,,53.9,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,Drill,Miniature Drill Hardened Steels,,20009-C3,,0.009,0.125,0.054,1.5,2,AlTiN,,63.68,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,Drill,Miniature Drill Hardened Steels,,20010,,0.01,0.125,0.06,1.5,2,Uncoated,,52.6,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,Drill,Miniature Drill Hardened Steels,,20010-C3,,0.01,0.125,0.06,1.5,2,AlTiN,,62.38,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,Drill,Miniature Drill Hardened Steels,,20011,,0.011,0.125,0.066,1.5,2,Uncoated,,51.3,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,Drill,Miniature Drill Hardened Steels,,20011-C3,,0.011,0.125,0.066,1.5,2,AlTiN,,61.08,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,Drill,Miniature Drill Hardened Steels,,20012,,0.012,0.125,0.072,1.5,2,Uncoated,,49.9,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,Drill,Miniature Drill Hardened Steels,,20012-C3,,0.012,0.125,0.072,1.5,2,AlTiN,,59.68,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,Drill,204,,20412500,,0.125,,1.25,2.25,2,Uncoated,"6061 Aluminum, Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,
M.A. Ford,Drill,204,,20412850,,0.1285,,1.25,2.25,2,Uncoated,"6061 Aluminum, Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,
M.A. Ford,Drill,204,,20413600,,0.136,,1.375,2.5,2,Uncoated,"6061 Aluminum, Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,
M.A. Ford,Drill,204,,20414050,,0.1405,,1.375,2.5,2,Uncoated,"6061 Aluminum, Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,
M.A. Ford,Drill,204,,20414060,,0.1406,,1.375,2.5,2,Uncoated,"6061 Aluminum, Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,
M.A. Ford,Drill,204,,20414400,,0.144,,1.375,2.5,2,Uncoated,"6061 Aluminum, Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,
M.A. Ford,Drill,204,,20414700,,0.147,,1.375,2.5,2,Uncoated,"6061 Aluminum, Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,
M.A. Ford,Drill,204,,20414950,,0.1495,,1.375,2.5,2,Uncoated,"6061 Aluminum, Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,
M.A. Ford,Drill,204,,20415200,,0.152,,1.375,2.5,2,Uncoated,"6061 Aluminum, Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,
M.A. Ford,Drill,204,,20415400,,0.154,,1.375,2.5,2,Uncoated,"6061 Aluminum, Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,
M.A. Ford,Drill,205,,20512500,,0.125,,0.875,1.875,2,Uncoated,"6061 Aluminum, Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,
M.A. Ford,Drill,205,,20512850,,0.1285,,0.9375,1.9375,2,Uncoated,"6061 Aluminum, Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,
M.A. Ford,Drill,205,,20513600,,0.136,,0.9375,1.9375,2,Uncoated,"6061 Aluminum, Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,
M.A. Ford,Drill,205,,20514050,,0.1405,,0.9375,1.9375,2,Uncoated,"6061 Aluminum, Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,
M.A. Ford,Drill,205,,20514060,,0.1406,,0.9375,1.9375,2,Uncoated,"6061 Aluminum, Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,
M.A. Ford,Drill,205,,20514400,,0.144,,1.0,2.0625,2,Uncoated,"6061 Aluminum, Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,
M.A. Ford,Drill,205,,20514700,,0.147,,1.0,2.0625,2,Uncoated,"6061 Aluminum, Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,
M.A. Ford,Drill,205,,20514950,,0.1495,,1.0,2.0625,2,Uncoated,"6061 Aluminum, Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,
M.A. Ford,Drill,205,,20515200,,0.152,,1.0,2.0625,2,Uncoated,"6061 Aluminum, Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,
M.A. Ford,Drill,205,,20515400,,0.154,,1.0,2.0625,2,Uncoated,"6061 Aluminum, Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,
M.A. Ford,End Mill,Miniature Ball Stub Standard,,24505-C3,,0.005,0.125,0.0075,1.5,2,AlTiN,,70.28,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,Miniature Ball Stub Standard,,24506-C3,,0.006,0.125,0.009,1.5,2,AlTiN,,68.28,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,Miniature Ball Stub Standard,,24507-C3,,0.007,0.125,0.0105,1.5,2,AlTiN,,68.28,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,Miniature Ball Stub Standard,,24508-C3,,0.008,0.125,0.012,1.5,2,AlTiN,,68.28,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,Miniature Ball Stub Standard,,24509-C3,,0.009,0.125,0.0135,1.5,2,AlTiN,,68.28,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,Miniature Ball Stub Standard,,24510-C3,,0.01,0.125,0.015,1.5,2,AlTiN,,57.88,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,Miniature Ball Stub Standard,,24605-C3,,0.005,0.125,0.0075,1.5,4,AlTiN,,70.28,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,Miniature Ball Stub Standard,,24606-C3,,0.006,0.125,0.009,1.5,4,AlTiN,,68.28,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,Miniature Ball Stub Standard,,24607-C3,,0.007,0.125,0.0105,1.5,4,AlTiN,,68.28,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,Miniature Ball Stub Standard,,24608-C3,,0.008,0.125,0.012,1.5,4,AlTiN,,68.28,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,Miniature Ball Stub Standard,,24609-C3,,0.009,0.125,0.0135,1.5,4,AlTiN,,68.28,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,Miniature Ball Stub Standard,,24609-C4,,0.009,0.125,0.027,1.5,4,Amorphous Diamond,,83.17,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,Miniature Ball Stub Standard,,24610-C3,,0.01,0.125,0.015,1.5,4,AlTiN,,57.88,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,Miniature Ball Stub Standard,,24610-C4,,0.01,0.125,0.015,1.5,4,Amorphous Diamond,,72.77,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WX-PHSS,WX-PHSS,3016521,,0.0827,0.2362,0.126,2.3622,4,WX,Steel,11500.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WX-PHSS,WX-PHSS,3016522,,0.0866,0.2362,0.1299,2.3622,4,WX,Steel,11500.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
OSG,End Mill,WX-PHSS,WX-PHSS,3016526,,0.1024,0.2362,0.1535,2.3622,4,WX,Steel,11500.0,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
